id,name,description,neighbourhood_cleansed,property_type,tags
14322.0,Beautiful Apartment in Manhattan!!!,"You will find a welcoming apartment, I love to feel home after walking all day, and you will feel the same. A lovely home in the heart of Manhattan close to everything :) Please do not wear shoes in the apt, on rugs especially. Check in or out are flexible only if available.<br /><br /><b>The space</b><br />THE APARTMENT IS MODERN AND WELL FURNISHED,SPOTLESS, WELL-MANTAINED, WELL DESIGNED, WOOD FLOOR AND LOTS OF WINDOWS!!<br /><br />I HAVE A NICE BIG SIZE ONE BEDROOM APARTMENT WITH A QUEEN SIZE BED, WITH ALL THE FACILITIES INCLUDED (AC on usage)<br /><br />The apartment is located  on the east side of manhattan, still in between of east village and mid town. Near you have many famous landmarks, including Gramercy Park, Union Square and NYU, Empire State building, Madison Square park and the Flat Iron building. It's also located near many great restaurants and cafes,bars, supermarkets and more.. Major bus an trains( 6 and N R Q)<br />On the east side you are 2 avenues away from the East",Kips Bay,Entire apartment,"['one', 'one', '1889', '42nd St.', 'one', 'The East River Ferry', 'only six blocks', 'India St.', 'the East River']"
15341.0,"Bright 1bd Nolita Apt, Doorman, Elevator, Security","Greetings! This is a bright, spartan 1-bedroom in a Luxury Nolita high-rise condo building with 24 hour lobby attendants, elevators & gym.<br /><br />Amazing location with nearby subways, Whole Foods, SoHo, Lower East Side, Little Italy, Chinatown, NYU.<br /><br /><b>The space</b><br />Hello ~ : )<br /><br />I'm taking short term stays in my Nolita apartment for a minimum of 30 day stays.<br /><br />This is a simple, spartan 1-bedroom in an awesome, safe neighborhood. <br /><br />For the stay, I am looking for guests who are Mature, Low Key, Financially Secure, Non-Smoking in the room, Relatively LOW maintenance & clean, and NON-Partying (meaning I dont mind if you like to have fun, just no throwing parties in THIS apartment, please).<br /><br /><b>Guest access</b><br />Apartment Amenities include: <br /><br />* WiFi 25/25MBps (Download/Upload)<br />* FiOS TV (Online streaming movies, TV series, Widgets, Showtime, 260+ channels and music)<br />* Large wall closet in bedroom<br />* Heat",Nolita,Entire condominium,"['all day', 'Manhattan', 'ONE', 'Gramercy Park', 'Union Square', 'NYU', 'Empire State', 'Madison Square park', 'the Flat Iron building', '2', 'the East']"
15385.0,"Very, very cozy place","A home away from home. Its a very cute and charming.<br />full size bed (sheets and towels included). VERY CLEAN <br />You are welcome to use the kitchen.<br />Amazing stores, restaurants and cafes. 2 blocks away from Domino park and to the Williamsburg bridge.<br />No smoking and no pets.<br /><br /><b>The space</b><br />Best location in Williamsburg - Brooklyn, first stop on the L, J,Z.M 10 to 15 min walk.<br />Close to Bedford av. The apartment is overall a welcoming space. Small and charming.<br />No ideal if you are planing to work from home.<br /><br />You will get a private room, my room is at the oposite end. Very comfortable kitchen and I will like  to keep it spotless at all time.<br />Be ready to go up 4 floors. A good way to keep your legs in shape ;)",Williamsburg,Private room in apartment,"['24 hour', 'Whole Foods', 'SoHo', 'Lower East Side', 'Little Italy', 'Chinatown', 'Nolita', '30 day', 'Widgets', 'Showtime', '260']"
15396.0,Sunny & Spacious Chelsea Apartment,"Modern, spacious, bright and well designed apartment in Chelsea/Midtown Manhattan close to everything & a great spot to explore the city! <br /><br />Family-friendly space with great food shopping nearby. <br /><br />Also very well suited for business travelers.<br /><br />Minimum rental period: +30 nights<br /><br /><b>Other things to note</b><br />Can not accept reservations more than 6 weeks in advance.",Chelsea,Entire apartment,"['2', 'Domino park', 'the Williamsburg bridge.<br', 'Williamsburg -', 'Brooklyn', 'first', '10 to 15 min', 'Bedford av', '4']"
15711.0,2 bedroom Upper East Side,"This apartment is  perfect for families. A Queen bed in the master bedroom and a full sized bed plus a full sized bunk bed in the second room.  The living room has a new couch that can be two Twin Beds or one slide into a Queen (no pullout frame!).  There is air conditioning in each room, TV in the living room and the master bedroom, and a full kitchen. Updated pictures are coming.<br /><br /><b>The space</b><br />Enjoy an excellent and much more reasonably priced and comfortable alternative to a New York City hotel. Our newly renovated 2 bedroom is located on the charming, tree lined, park block of 77th Street between York Avenue and John Jay Park -  right in the middle of the very safe, Upper East Side. The apartment is a 5th floor walk-up in a beautiful Historic Old World style building with a central courtyard.<br /><br />This apartment can sleep 6 people .  The apartment has high ceilings, 4 floor to ceiling windows  (lots of light) and hard wood flooring throughout.<br /><br />Th",Upper East Side,Entire apartment,"['Chelsea/Midtown Manhattan', 'more than 6 weeks']"
16326.0,Comfortable 4-bedroom apt in family house.,"Spacious and clean four bedroom, two bathroom apartment. Beautiful, safe Brooklyn neighborhood. Close to Manhattan via Subway. The other apartment is me and my family.<br /><br /><b>The space</b><br />Brooklyn Vacation Rental for up to 8 people<br /><br />Vacation Rental Details:<br /><br />This apartment is in a 2 family house (the other apartment is me). We rent the apartment out as a vacation rental. It's a great way for tourists to visit New York City, and not have to pay hotel prices!<br /><br />APARTMENT DETAILS:<br />- master bedroom (queen bed)<br />- master bathroom<br />- three bedrooms (full beds; all bedrooms are private and have windows, except for fourth bedroom, which is private, but has no window)<br />- second full bathroom<br />- Comfortable living room with two sofas, TV and DVD player<br />- Kitchen equipped with dishes, silverware, pots & pans, stove/oven, dishwasher, microwave, coffee maker, toaster, fridge/freezer<br />- Linens and towels included<br />- no washe",Prospect Heights,Entire condominium,"['second', 'two', 'one', 'Queen', 'New York City', '2', '77th Street', 'York Avenue', 'John Jay Park', 'Upper East Side', '5th', '6', '4']"
16338.0,Double Room w Private Deck Clinton Hill Best Area,"I really I am looking for people who want to stay 1 to 6 months, although I could be flexible on that. Lovely and quiet double room at the back of the apartment, with your private access to a tranquil deck, where there is room to work and relax.  Beautiful Block and close to Fort Greene park and train.  I have a cat so cat lovers are a plus.<br /><br /><b>The space</b><br />If you ask around anyone will tell you that the Fort Greene/Clinton Hill area of Brooklyn is one of the coolest neighborhood to be in. Lots of bars/restaurants. Lovely park and trees everywhere. Farmers market on saturday and much to do. Close to ALL the trains and buses.  My block is nice and quiet.  <br /><br />This is a two bedroom apt. You will have a private room  and share the bathroom and kitchen with me.  The apt has high ceilings and wood floors.   The Room opens onto a really cute deck that is also your own private space.<br /><br />There is a loft double bed suitable for a couple,  Also a double bed in th",Clinton Hill,Private room in apartment,"['four', 'two', 'Brooklyn', 'Manhattan', 'Subway', '8', '2', 'New York City', 'three', 'fourth', 'second']"
16580.0,"Sunny, Modern room in East Village!","This clean and very comfortable room in the East Village has spectacular views of downtown Manhattan and is a block away from Tompkins Square Park. Am always excited to share the space with guests! Thanks for taking a look.<br /><br /><b>The space</b><br />This listing is for 1 PRIVATE ROOM in a shared apartment. The room has a large queen size bed in a luxury duplex with a large private terrace.<br /><br />The Apartment: Just one block off Tompkins Square Park in an elevator building. The apartment is a large luxury 2-floor, 3-bedroom, 2-bath duplex in Alphabet City/ East Village and a short walk away from Lower East Side, West Village, SoHo, Noho, Chinatown, Little Italy, and the rest of downtown Manhattan!<br /><br />The Room: A large, bright room with a very comfortable queen-sized bed, AC, large closet, and spectacular views of lower Manhattan. <br /><br />The Host: Friendly, creative female who loves to travel, write, make movies, listen to music, and meet new people! I've lived ",East Village,Private room in condominium,"['1 to 6 months', 'Fort Greene', 'Fort Greene', 'Clinton Hill', 'Brooklyn', 'saturday', 'two']"
16595.0,Quiet Full Floor Loft with Home Theater,"* Contact host to confirm availability *<br /><br />* Gatherings, parties, extra guests NOT ALLOWED *<br /><br />* Security camera in building *<br /><br />Full floor loft with private bedroom, hardwood floors, high ceilings, exposed brick, and six windows letting in plenty of light. A carefully arranged blend of modern, vintage, and mid-century furniture creates an eclectic but cozy ambience that makes you feel at home<br /><br />Walk up building - Two flights of stairs - No elevator<br /><br /><b>The space</b><br />•  Bedroom:  queen size bed - east facing window<br />•  Kitchen:  fully equipped - L-shaped counter<br />•  Dining area:  extendable table<br />•  Living area:  two sofas - reading nook<br />•  Work area:  office desks - printer - cinema display<br />•  Bathroom:  cast-iron tub/shower<br />•  Storage:  wall closet - dresser<br />•  Home theater:  4k uhd projector - 100"" screen - speakers",Williamsburg,Entire loft,"['the East Village', 'Manhattan', 'Tompkins Square Park', '1', 'Tompkins Square Park', '2', '3', '2', 'Alphabet City/ East Village', 'Lower East Side', 'West Village', 'SoHo', 'Noho', 'Chinatown', 'Little Italy', 'Manhattan']"
16821.0,Large Room in Amazing East Village Apt,"The apartment is among the best available in the lively East Village. It’s a second-floor walk up with a fire escape/terrace off the room, a large kitchen, spacious living room, large back deck with bbq, wi-fi internet, pressed-tin ceilings, amazing roof access, etc. It has a lot of character; very homey but spacious feeling with high ceilings, lots of artwork, plants, wood floors, exposed brick, etc.<br /><br /><b>The space</b><br />The apartment is among the best available in the lively East Village. It’s a second-floor walk up with a fire escape/terrace off the room, a large kitchen, spacious living room, large back deck with bbq, wi-fi internet, pressed-tin ceilings, amazing roof access, etc. It has a lot of character; very homey but spacious feeling with high ceilings, lots of artwork, plants, wood floors, exposed brick, etc.<br /><br />The access to grocery stores, laundry, restaurants, bars, theaters, liquor store, cinema, Tompkins Square Park, etc, is pretty unbeatable. In gene",East Village,Private room in apartment,"['six', 'Two', 'two']"
16974.0,SpaHa Loft: Enormous and Bright,"Our luxury loft occupies the entire second floor of an old warehouse with high ceilings, lots of windows, 4 bedrooms & 2 bathrooms. It's located next to a small park on a very quiet block. Supermarket is next door, and the subway five minutes away.<br /><br /><b>The space</b><br />ABSOLUTELY NO SMOKING!<br /><br />PLEASE NOTE RATE VARIES DEPENDING ON MONTH/SEASON AND IS BASED ON 4 PEOPLE.<br /><br />A SECURITY DEPOSIT IS REQUIRED, AND <br />THERE IS A $150 CLEANING FEE.<br /><br />AVAILABLE ALL YEAR!<br />ALL UTILITIES & WIFI INCLUDED.<br /><br />CHECKOUT TIME IS 10:00 AM.<br /><br />Soak up the Latin beat of exciting SpaHa (Manhattan's Spanish Harlem) in this 2000+ square foot luxury loft taking up the entire second floor of an old warehouse that has been renovated with care. With 12ft ceilings, the custom windows let in tons of light.  <br /><br />The loft has four bedrooms (2 with queen beds, 2 with 2 twins).  In true loft fashion, the walls don't quite reach the ceilings, but it's ",East Harlem,Entire loft,"['East Village', 'second', 'East Village', 'second', 'Tompkins Square Park']"
17037.0,Lovely EV Artist's Home,"I am happy to host responsible visitors as my guests.  I am careful to make sure it is the right match for my home- Perfect for one or a couple but not more. This is an especially personable EV apt- please read the full description.  If you are interested please introduce yourselves and tell me a little bit about your stay in the city.  This is my home and it is important for me to know who is making the reservation.  Thank you.<br /><br /><b>The space</b><br />A charming artist's home for responsible guests in a small friendly and safe building in the east village.  <br /><br />My lovely east village floor-through home is available for a responsible older couple or single (35+) looking for a clean quiet temporary apartment in the city.  <br /><br />It is beautifully furnished with designer furniture and family antiques. There are windows front and back of this typical railroad apt, with a sunny kitchen, and quiet bedroom with a new super comfortable plush firm full (double) mattress. ",East Village,Entire apartment,"['second', '4', '2', 'five minutes away.<br', 'MONTH/SEASON', '150', 'ALL YEAR!<br', '10:00 AM.<br', 'Latin', 'Manhattan', '2000+ square foot', 'second', '12ft', 'four', '2', '2', '2']"
17083.0,East Village 2 Bedroom wth View,"An airy, bright and charming apartment to make your family feel welcome.<br />Apartment is in a prewar building on the 5th floor with unobstructed spectacular views of the city.<br /><br /><b>The space</b><br />Hello. You arrived at NYC Charm with a VIEW! <br /><br />Real 2 Bedroom to yourself in a beautiful prewar building with lots of character. Very quiet and safe.<br />Top floor. So nobody is above you.<br /><br />Flooded in light with great views of Manhattan the Living room and each spacious Bedroom has 2 to 3 Windows with city and partial city views, comfortable but firm queen size bed, Ouef twin size bunk bed for two, closet space and full size mirrors. Original Art Work on the walls.<br /><br />This charming and large 700sq ft. real two bedroom apt. is perfectly situated. <br />- Near all the bars and restaurants of the East Village, Noho, Soho and Lower East Side. <br />- Close to Thompkins Square Park a 2 min walk. <br />- F-Train 2nd Avenue Station a 10 minute walk. Brings ",East Village,Entire apartment,"['one', 'east village']"
17693.0,"HARLEM, NYC,STILL WELCOMES YOU!! xx","<b>The space</b><br />Our home is unique simply because we've kept the old school art deco style, and added our own personality to it, loads of color, high ceilings and just an overall feel of being home, but surrounded by beautiful unusual pieces on the walls, collected over the years living in beautiful NYC ❤ Our long passage way gives you the privacy you need but the security of knowing we're close by if you need anything!<br />The room is a nice size and as a bed, wardrobe, dresser and amenities such as coffee machine and kettle!<br />Bathroom is next door to your room so no fussing about in the night trying to find it lol<br />And we keep our home clean and tidy!<br />Hope to see you soon 🌷",Washington Heights,Private room in apartment,"['5th', 'NYC', '2', 'Manhattan', '2', '3', 'Ouef', 'two', '700sq ft', 'two', 'the East Village', 'Noho', 'Soho', 'Lower East Side', 'Thompkins Square Park', '2 min', 'F-Train', '2nd Avenue Station', '10 minute']"
17747.0,BLUE TRIM GUEST HOUSE,"A well-loved guest room in a bright, spacious flat: our family home of ten years, a nurturing destination for global travelers.<br /><br /><b>The space</b><br />Over tea, coffee or whisky (as your schedule goes), we'll get acquainted with one another's laughter and lives at a dining table which enjoys sweeping views of the city. We're respectful of boundaries and hope only to be of help while you're here. The layout of the apartment provides spaciousness, as the guest room pairs with a full private bathroom to form a distinct and sunny 'wing' for your quiet relaxation.<br /><br />Your windows face the rising sun, and blackout shades installed ensure a good night's rest no matter how sensitive to light you may be as a sleeper. There's ample closet and drawer space, electrical outlets within easy reach.<br /><br />As a launchpad to the larger city, we're perfectly positioned between JFK airport and Manhattan, making arrival a breeze, and exploration a joy. But you won't need to go far to",Clinton Hill,Private room in apartment,"['the years', 'NYC']"
18127.0,Charming East Village One Bedroom Flat,"Your relaxing holiday escape in the East Village awaits you!  Recently renovated, this uniquely warm space is more bright, clean, and equipped with both modern fixtures and historic charm with high ceilings, exposed brick, and wood floors.<br /><br /><b>The space</b><br />This block of East 7th Street, in the East Village Historic District, was featured in the NY Times in December 2010, check out the article to see some of the great establishments right outside your door.  Just search on your favorite browser for ""Clever Young East Seventh Street NY Times.""<br /><br />This clean, recently renovated, charming apartment has a full size living room, large separate bedroom, small but practical, clean modern kitchen and a nice new bathroom. The space is immaculate, very well heated, renovated, modern, and extremely well kept. High ceilings, lots of light (south facing), wood floors, thoughtful lighting with dimmers, exposed brick, plenty of closet space, cleaning service, and free reliable ",East Village,Entire apartment,"['ten years', 'night', 'JFK airport', 'Manhattan']"
18195.0,King of Queens w/ Private Bathroom,"Updated, modern 3 bedroom, 2 bathroom apartment. Very spacious room including large closet, private bathroom and shower.<br /><br /><b>The space</b><br />Large Master Bedroom with private bath in a 3 bedroom/ 2 bathroom apartment. The room is (16ft x 12ft) with refinished floors and a new luxurious private bath!<br /><br />PLEASE CAREFULLY READ THROUGH ALL OF THE INFORMATION BELOW, BEFORE SENDING AN INQUIRY.<br /><br />The room sleeps 2 and belongs to a very spacious 3 bedroom/2 bathroom apartment in Woodside (Queens). We provide wireless internet access, as well as clean sheets and towels. The room is equipped with a queen size bed, air conditioner, TV, closet, desk, night stands, reading lamps and alarm clock.  You are more then welcome to make use of our spacious living room and, if you like cooking, of our newly renovated kitchen. Please note, that you would be sharing these common areas with us. <br /><br />A quiet and safe neighborhood, Woodside is only a 20 min. subway-ride away",Woodside,Private room in condominium,"['the East Village', 'East 7th Street', 'the East Village Historic District', 'the NY Times', 'December 2010', 'Clever Young East Seventh Street']"
18198.0,Little King of Queens,"This bright & sunny bedroom is in a shared 3 bedroom, 2 bath flat in a quiet neighborhood 7 minutes from the subway. The room has two large southern-facing windows facing the park across the street. Includes a full size bed, tv, closet, desk & chair.<br /><br /><b>The space</b><br />This is a small bedroom in a large, quiet, newly renovated apartment. The bedroom is in the front of the apartment, far away from the other 2 bedrooms and bathrooms. <br />PLEASE CAREFULLY READ THROUGH ALL OF THE INFORMATION BELOW, BEFORE SENDING AN INQUIRY.<br /><br />The room sleeps 2 and belongs to a very spacious 3 bedroom/2 bathroom apartment in Woodside (Queens). We provide wireless internet access, as well as clean sheets and towels. The room is equipped with a full size bed, air conditioner, TV, closet, dresser, night stand, reading lamp and alarm clock.  You are more then welcome to make use of our spacious living room and, if you like cooking, of our newly renovated kitchen. Please note, that you ",Woodside,Private room in condominium,"['3', '2', '3', '2', '(16ft x 12ft', '2', '3', 'Queens', 'Woodside', '20 min.']"
18728.0,Beautiful Meatpacking District Loft,"The hottest neighborhood in New York City!<br /><br /><b>The space</b><br />Amazing loft in the Meatpacking District. The hottest neighborhood in NYC! Enjoy your own 1,100 square foot space within a 2,600 sq ft, two floor loft. Doorman, building, full sized bed (fits two) with true mattress and box frame (not an uncomfortable, thin, sleeper sofa mattress). Can sleep third guest on large sectional sofa, shared kitchen. Guests enjoy exclusive use of two bathrooms.<br /><br /><b>Other things to note</b><br />Some highlights of our neighborhood: The Chelsea Market, The Whitney Museum, The Highline Park, Shinola, Eataly, The Stonewall Inn, Warby Parker, The Hudson River Park, Google, Bumble and Bumble,",Chelsea,Private room in loft,"['3', '2', '7 minutes', 'two', '2', '2', '3', 'Woodside', 'Queens']"
18764.0,Cozy 2 BR in Williamsburg,"<b>The space</b><br />PLEASE READ ENTIRE LISTING BEFORE BOOKING. <br /><br />I have a 3 bedroom cozy apartment in Williamsburg of which Two (2) bedrooms are available for rental during temporary stays in NYC. <br /><br />Bedrooms: <br />1st Bedroom: Full size bed - Temperpedic mattress (Sleeps 2)  <br />2nd Bedroom: Full size bed - Sealy's Spring mattress (Sleeps 2)<br /><br />****3rd Bedroom is where I or my apartment manager, sleeps****<br /><br />Common area: Bathroom / Full Living room / Full Eat in kitchen.<br /><br />Rooms are available separately for rentals as well (please see my other listings via my Profile) <br /><br />*Rates include utilities <br />*Max 4 people / $14 extra p/p p/n after 2nd guest<br /><br />Looking forward to hearing from you soon!<br /><br /><b>Guest access</b><br />Guests have access to all the common areas (living room/kitchen, etc.)<br />Everyone MUST be considerate of each other. Please clean up after yourselves in all common areas especially the bath",Williamsburg,Private room in apartment,"['New York City!<br', 'the Meatpacking District', 'NYC', '1,100 square foot', '2,600 sq ft', 'two', 'two', 'third', 'two', 'The Chelsea Market', 'The Whitney Museum', 'The Highline Park', 'Shinola', 'Eataly', 'The Stonewall Inn', 'Warby Parker', 'The Hudson River Park', 'Google', 'Bumble']"
18961.0,Cozy Studio in Great Location!,"This is a great fully furnished studio, lots of natural light during the day. Quiet and peaceful at night. Its the perfect location to see the city from and a cozy and clean space to stay in.<br /><br /><b>The space</b><br />Great Gramercy Furnished Studio in Wonderful shape and ready to move in!<br /><br />Located in the rear of  a quiet building  on 24th  Off 3rd Ave this is a wonderful location and a great space to call home.  <br /><br />The apartment comes fully furnished with:<br />*Full size bed with Down comforter and sheets<br /> *Hard wood floors, great open space<br />*Flat screen HDTV with DVD Cable TV and High speed WIFI<br />*Good Sized fully functional kitchen (pots pans microwave stove full fridge) <br />*Hair dryer<br /><br />The Gramercy/Flatiron district is one of the most desirable areas of NYC, local to many amazing restaurants and nightlife as well as Madison square park, Union Square, and easy transportation with the 6,N,Q,R,W trains a short 5 minute walk away ma",Kips Bay,Private room in apartment,"['3', 'Two', '2', 'NYC', '2', ""Sealy's"", '4', '14', '2nd']"
19159.0,Spacious luminous apt Upper West NYC,"1000sq feet: master bedroom-large studio with a sofa bed-dining-kitchen-bathroom<br />Facing South West over the Hudson River: the light is really beautiful<br />The apartment is across the street from Riverside Park and its Olympic swimming pool & gymnasium ( only $5  fee), running truck <br />Fairway market for good healthy food<br />Train 1-red line one block away, B&D trains 10 minutes walk<br />Cleaning during long term reservation by my trusted housekeeper is not included and not obligatory but highly recommended<br /><br /><b>The space</b><br />If you're looking for the perfect, luminous and calm getaway in the heart of NYC, then this Riverside Drive apartment is the perfect choice for you.<br />Approx. 1000sq feet, one master bedroom plus a large studio with a sofa bed, dining room, kitchen (dishwasher, large fridge and microwave), marble and tile bathroom.<br />Laundry room in the basement.<br />Facing South West over the Hudson River: the light is really beautiful.<br />It's ",Harlem,Entire apartment,"['NYC', 'Madison square park', 'Union Square', '5 minute']"
19282.0,"Sunny, Spacious Top Floor Haven","A true GEM in Prospect Lefferts Gardens, welcome to our perfectly situated, peaceful top floor apartment right across the street from the best park & amenities in the city!<br /><br />This is a 1200 sq. foot 2 bedroom, 2 bathroom apartment located in a lovely pre-war well-maintained building.  With Pull-out Sofa Bed and curtain diver in spacious living room this apartment can sleep comfortably up to 4 adults or 2 adults and 2 children! Perfect summer-in-the-city oassis for families!<br /><br /><b>The space</b><br />Welcome to a real New York Gem!!<br /><br />*** This is a large 2 bedroom, 2 full bathroom APARTMENT with the use of one large bedroom , and queen sofa bed pull out in partitioned living room.  Foyer, dining room, living room and LOTS of windows.  Spacious, sunny, beautiful apartment with arched entrance ways, inlaid bookshelves and other classic details. 11 windows in total with 3 directional views ... sky and tree tops all around. One block from the lovely Parkside entranc",Flatbush,Private room in apartment,"['1000sq feet', 'South West', 'the Hudson River', 'Riverside Park', 'only $5', 'NYC', 'Riverside Drive', '. 1000sq feet', 'one', 'South West', 'the Hudson River']"
19812.0,2 bedroom Williamsburg Apt - Bedford L stop,"I love my apartment and I love being able to offer it to visitors. I know traveling is fun but also exhausting and I hope my house makes your trip a little easier and more personal feeling than some boxy hotel room. My apartment is sunny and bright and big, with high tin ceilings and loads of charm. It's near three different subway lines, is one stop from Manhattan and also the Wililamsburg Bridge is a few blocks away if you feel like taking a nice walk. There's also the ferry. So many options!<br /><br /><b>The space</b><br />My entire apartment is available off and on throughout the year. It is so bright and sunny.  Two bedrooms, each with a queen bed in it.  The living room and kitchen are huge. High ceilings.  Wood floors.  Loads of charming details.  Second floor of a three unit building in Williamsburg.  Five minute or so walk to the L train Bedford stop, (which is one stop from Manhattan)  as well as the J, M and G trains. Williamsburg is just overflowing with great shops and re",Williamsburg,Entire apartment,"['Prospect Lefferts Gardens', '1200 sq. foot', '2', '2', '4', '2', '2', 'New York', '2', '2', 'one', '11', '3', 'One', 'Parkside']"
20611.0,Cozy Bedroom in Williamsburg 3 BR,"<b>The space</b><br />PLEASE READ ENTIRE LISTING BEFORE BOOKING...<br /><br />I have a 3 Bedroom cozy apartment in Williamsburg of which Two (2) bedrooms are available for rental during temporary stays in NYC. <br /><br />Please see my profile to view my 2 other listings in the same space. <br /><br />Bedrooms: <br />- This Bedroom: Full size bed - Temperpedic mattress (Sleeps 2)<br />  <br />- 2nd Bedroom: Other guests may be booked in this room (Sleeps 2)<br /><br />****3rd Bedroom is where I or my apartment manager, sleep(s)****<br /><br />- Common area: Bathroom / Full Living room / Full Eat in kitchen. <br /><br />Please note that both rooms may be booked at the same time and you will be sharing the space with other guests. (Great way to meet new people!!) :) <br /><br />*Rates include utilities <br />*Max 2 people PER BEDROOM<br /><br /><br />Looking forward to hearing from you soon!<br /><br /><b>Guest access</b><br />Guests have access to all the common areas (living room/kitch",Williamsburg,Private room in apartment,"['three', 'one', 'Manhattan', 'the Wililamsburg Bridge', 'the year', 'Two', 'Second', 'three', 'Williamsburg', 'Five minute', 'L train', 'Bedford', 'one', 'Manhattan', 'J,', 'Williamsburg']"
20717.0,Room in Brownstone B/Q feet away,"Clean and comfortable room in our spacious brownstone. Ground floor entrance with subway B,Q  across the house. We recommend Tom's restaurant for breakfast and Sushi at Geido for diner. Owners speak English & French and live on upper floors.<br /><br /><b>The space</b><br />We welcome you on the ground floor of our brownstone. The room has a shared entrance and shared access to the garden. The bathroom is shared with another room.<br /><br />Prospect Heights is a quiet and residential neighborhood. the room gives on a quiet back garden, a nice contrast from the intensity of Manhattan. <br /><br />Great location! One of the most attractive feature is the proximity of the subway litteraly across the house. 4 lines, the B, Q at 7th avenue and a one minute walk to the 2,(email hidden) Plaza. All lines will bring you directly to Manhattan. We are 15 minutes away from Wall Street and 20 minutes away from Time's Square.<br /><br /><b>Guest access</b><br />Ground floor access, shared kitchen f",Prospect Heights,Private room in house,"['3', 'Two', '2', 'NYC', '2']"
20724.0,Sunny room+Pvte office in huge loft,"FOR RENT is 400sqf brand new renovated room cosy and intimate. + a large private office in a separate room.<br />FULL OF LIGHT 3 skylights with 2 with a direct view on the city. Furnished with a desks drawer+rack for clothes, and a queen size bed.<br /><br /><b>The space</b><br />FOR RENT is 400sqf brand new renovated room cosy and intimate.<br />FULL OF LIGHT 3 skylights with 2 with a direct view on the city. Furnished with a desks drawer+rack for clothes, and a queen size bed. <br />it is a very spacious s2pace, ideal for live/work, visiting artist, creative professionals... <br /><br />Next to the room is also a private 250sqf office space with 2 desks, chairs, a couch and shelves.<br /><br />AND a private access to a gigantic rooftop <br /><br />The rom is party of a giigantic space in a big art studio located in Bushwick/east Williamsburg . <br />couple of blocks from Flushing or Myrtle JMZ, 10min from Morgan L, 15 from Flushing G train. <br />20min ride to union sq / 15min to Low",Bushwick,Private room in house,"[""Tom's restaurant"", 'Sushi at Geido', 'English', 'French', 'Manhattan', 'One', '4', '7th avenue', 'one minute', 'the 2,(email hidden) Plaza', 'Manhattan', '15 minutes', 'Wall Street', '20 minutes', ""Time's Square.<br""]"
20755.0,"Large Parlor Room, Landmark Home 1 block to PRATT","<b>The space</b><br />The room is a converted parlor room, separated from the rest of the house by 4 sliding frosted glass doors behind 2 sets of curtains. There is a Queen size bed, a wardrobe, a desk and chair, a pair of occasional chairs and a large and heavy safe (the sliding doors do not lock).<br /><br />The private bath is newly renovated (January 2019) with stone and porcelain subway tiles, a rainfall shower-head and a roomy shower area. The sink and vanity cabinet offer plenty of storage.<br /><br />There are hardwood floors and historic details throughout the house, a pretty fireplace (non-working) and a large window overlooking a private balcony to the backyard.<br /><br />The shared kitchen is large with a center island stool seating for 4, bistro seating for 4, stainless steel appliances including a dishwasher. <br /><br />The house is a 3 bedroom, 3 bath landmark two family brick home on a vibrant and safe block of Clinton Hill, Brooklyn. Transportation is nearby as the h",Clinton Hill,Private room in townhouse,"['3', '2', '3', '2', '2', 'Myrtle JMZ', '10min from Morgan L', '15', 'Flushing G train', '15min to Low']"
20913.0,Charming 1 bed GR8 WBurg LOCATION!,"Two blocks from the subway and SO close to the famous Williamsburg ""hipster"" scene, this cozy, private apartment is perfect for a couple looking to experience all NYC has to offer and still go home to a safe, quiet place of their own.<br /><br /><b>The space</b><br />Hello traveler! <br /><br />I am constantly leaving town and would love to share my beautiful furnished apartment in South Williamsburg! My schedule is always changing, so email me and we'll figure something out!<br /><br />The rate is as follows: $110/night for two people. Each extra person is $15 extra per night. <br /><br />The bedroom is of moderate size with a VERY comfortable full size bed and access to a fire escape, overlooking the tree-lined street. The closet in there won't be available for your use, but the large living room closet will be available to you.<br /><br />The kitchen is well-equipped for any cooking needs you may have, and you are more than welcome to use any condiments and spices you find. You also",Williamsburg,Entire apartment,"['January 2019', '4', '4', '3', '3', 'two', 'Clinton Hill', 'Brooklyn']"
21456.0,Light-filled classic Central Park,"An adorable, classic, clean, light-filled one-bedroom apartment with windows in each room that overlook the courtyards of historic row-houses.  A great retreat after a day exploring the city...and one block from lovely Central Park!<br /><br /><b>The space</b><br />An adorable, classic, clean, light-filled one-bedroom apartment with windows in each room that overlook the courtyards of historic row-houses.  A great retreat after a day exploring the city...and one block from lovely Central Park!<br /><br />There is a livingroom/diningroom with a comfy click-clack futon couch that folds into a queen-size bed, and a separate, light-filled bedroom with a full-size bed.  <br /><br />The apartment has a complete, yet small kitchen and a clean bathroom with a bathtub.  Hot water is plentiful, the toilet well-functioning!<br /><br />It is a 3rd floor walk-up. (no elevator/lift)<br /><br />Free wireless internet.  <br /><br />The neighborhood is diverse, quiet, near transportation. Within walkin",Upper West Side,Entire apartment,"['Two', 'NYC', 'South Williamsburg', '110', 'two', '15']"
